round,ticks,transitions,epsilon,avg_score,best_score,accuracy,died_wall,died_self,starved,loss,seconds
1,62,24564,0.9389,0.061,2,0.7441,95,1,904,0.78117,0.40
2,71,49544,0.8768,0.093,2,0.7667,103,10,887,0.66377,0.20
3,82,75757,0.8116,0.158,3,0.7820,97,11,892,0.70116,0.23
4,73,102492,0.7451,0.226,4,0.7889,119,27,854,1.07190,0.21
5,79,131326,0.6733,0.369,3,0.8036,144,51,805,0.67078,0.24
6,137,162994,0.5946,0.516,5,0.8282,144,87,769,0.52565,0.29
7,187,198566,0.5061,0.855,9,0.8450,217,135,648,0.93802,0.35
8,176,241431,0.3994,1.427,11,0.8716,273,238,489,0.42097,0.40
9,337,303983,0.2438,2.881,16,0.9107,343,404,253,0.81482,0.65
10,974,578628,0.0050,17.859,63,0.9669,245,726,29,0.50939,2.64
11,1282,981894,0.0050,27.199,64,0.9681,54,921,25,0.55906,3.71
12,1093,1379635,0.0050,26.927,66,0.9685,67,911,22,0.71310,3.52
13,900,1756390,0.0050,25.668,54,0.9694,60,924,16,0.54631,3.24
14,929,2147517,0.0050,26.483,56,0.9685,54,927,19,0.51031,3.38
15,1019,2539392,0.0050,26.691,56,0.9678,57,926,17,0.69031,3.42
16,1068,2935133,0.0050,26.598,60,0.9691,59,913,28,0.43128,3.45
17,932,3336821,0.0050,27.003,59,0.9689,67,918,15,0.63211,3.43
18,1012,3736533,0.0050,26.896,60,0.9675,52,927,21,0.54438,3.49
19,1212,4142161,0.0050,27.152,68,0.9685,60,931,9,0.61574,3.62
20,1036,4560804,0.0050,28.068,59,0.9669,56,930,14,0.64141,3.61
21,1086,4975631,0.0050,27.884,60,0.9698,64,931,5,0.71773,3.62
22,1007,5383797,0.0050,27.321,62,0.9673,65,920,15,0.73825,3.52
23,1099,5799515,0.0050,27.931,61,0.9679,49,944,7,0.66729,3.63
24,1090,6207728,0.0050,27.489,71,0.9693,55,934,11,0.51412,3.58
25,1098,6621125,0.0050,27.764,64,0.9679,55,931,14,0.74125,3.62
26,1011,7023442,0.0050,27.149,58,0.9675,60,926,14,0.64296,3.51
