round,ticks,transitions,epsilon,avg_score,best_score,accuracy,died_wall,died_self,starved,loss,seconds
1,1497,320277,0.2001,7.740,61,0.8815,418,582,0,0.56587,5.67
2,3176,1757897,0.0010,77.170,148,0.9581,354,646,0,0.67315,19.84
3,3148,3246720,0.0010,84.952,143,0.9669,167,833,0,0.79807,20.41
4,3852,4934644,0.0010,92.752,167,0.9688,144,856,0,1.11014,23.21
5,4238,6904440,0.0010,103.140,171,0.9699,164,836,0,0.82743,26.59
6,6716,9209965,0.0010,113.614,210,0.9709,120,880,0,0.69209,32.91
7,7524,11804941,0.0010,121.894,227,0.9721,140,860,0,0.63383,37.35
8,9301,14448084,0.0010,122.518,249,0.9727,163,837,0,0.65226,38.43
9,14320,17216556,0.0010,125.413,293,0.9748,128,872,0,0.45138,49.70
10,12424,20135743,0.0010,129.821,286,0.9744,120,880,0,0.44787,55.39
11,9684,22939229,0.0010,127.417,247,0.9745,148,852,0,0.68255,41.16
12,8703,25761309,0.0010,127.865,232,0.9748,123,877,0,0.69572,40.82
13,13135,28466371,0.0010,124.910,278,0.9756,145,855,0,0.58885,52.02
14,12012,31139511,0.0010,124.207,254,0.9744,151,848,1,0.52016,40.81
15,11026,34056928,0.0010,130.009,264,0.9761,129,870,1,0.66811,54.83
16,13121,36853439,0.0010,127.657,281,0.9743,133,867,0,0.70395,43.72
17,10623,39652493,0.0010,128.232,258,0.9740,124,876,0,0.60118,42.07
18,13751,42366576,0.0010,125.914,294,0.9739,121,879,0,0.73302,52.37
19,17759,45063638,0.0010,125.839,325,0.9739,125,875,0,0.67847,54.22
20,21256,47782037,0.0010,126.419,349,0.9756,118,882,0,0.60842,56.15
21,8961,50431739,0.0010,124.465,243,0.9752,121,879,0,0.50463,39.02
22,10140,53096321,0.0010,125.286,265,0.9748,179,820,1,0.60066,40.08
23,11817,55623372,0.0010,121.903,277,0.9751,159,841,0,0.61568,38.96
24,16972,58317901,0.0010,126.294,328,0.9770,177,823,0,0.47090,48.73
25,11649,61048224,0.0010,126.855,267,0.9773,143,857,0,0.64071,42.01
26,15182,63698282,0.0010,125.353,314,0.9759,150,850,0,0.66198,42.35
27,10735,66325946,0.0010,124.626,258,0.9763,169,830,1,0.60691,48.56
28,13376,69001424,0.0010,125.105,281,0.9780,182,818,0,0.53138,42.37
