round,stage,ticks,transitions,epsilon,stage_gain,full_avg,best_score,accuracy,died_wall,died_self,starved,finished,filled,fill_moves,loss,seconds
1,short,2287,1730013,0.0010,50.000,,50,0.8775,0,0,0,1000,0,0,0.33625,70.98
2,short,1753,3135036,0.0010,50.000,,50,0.8970,0,0,0,1000,0,0,0.39037,51.70
3,short,1930,4608484,0.0010,50.000,,50,0.8939,0,0,0,1000,0,0,0.40134,52.67
4,short,1851,6053617,0.0010,50.000,,50,0.8962,0,0,0,1000,0,0,0.40707,52.41
5,short,1825,7490392,0.0010,50.000,,50,0.8938,0,0,0,1000,0,0,0.38045,52.37
6,mid,40604,19220984,0.0010,100.000,397.000,397,0.9480,0,0,0,800,0,0,0.53378,468.46
7,mid,40084,31024358,0.0010,100.000,397.000,397,0.9482,0,0,0,800,0,0,0.68716,447.60
8,mid,38189,42760958,0.0010,100.000,397.000,397,0.9456,0,0,0,800,0,0,0.73313,443.35
9,mid,39758,54270382,0.0010,100.000,397.000,397,0.9336,0,0,0,800,0,0,89.22959,438.28
10,mid,42168,67646094,0.0010,100.000,397.000,397,0.9267,0,0,0,800,0,0,22.94218,497.58
11,long,43616,100096012,0.0010,277.000,397.000,397,0.9332,0,0,0,0,800,30784,5.35670,834.57
12,long,40433,131197186,0.0010,277.000,397.000,397,0.9443,0,0,0,0,800,29792,6.74527,778.12
