round,stage,ticks,transitions,epsilon,stage_gain,full_avg,best_score,accuracy,died_wall,died_self,starved,finished,loss,seconds
1,short,1234,843536,0.0010,38.431,,50,0.9321,90,339,0,571,0.35410,29.71
2,short,963,1571767,0.0010,47.818,,50,0.9850,12,151,0,837,0.55986,31.70
3,short,964,2335849,0.0010,49.308,,50,0.9827,10,54,0,936,0.61832,32.99
4,short,1052,3096967,0.0010,49.287,,50,0.9845,14,50,0,936,0.67977,33.00
5,short,991,3871673,0.0010,49.742,,50,0.9839,7,25,0,968,0.82099,27.60
6,short,979,4645099,0.0010,49.857,,50,0.9851,4,12,0,984,0.58458,33.30
7,short,993,5416130,0.0010,49.909,,50,0.9859,1,16,0,983,0.65801,33.26
8,short,961,6191851,0.0010,49.855,,50,0.9846,2,18,0,980,0.65356,33.42
9,short,953,6957985,0.0010,49.756,,50,0.9873,7,19,0,974,0.65968,33.01
10,short,958,7723256,0.0010,49.783,,50,0.9888,1,25,0,974,0.72295,33.05
11,short,959,8484514,0.0010,49.716,,50,0.9887,2,27,0,971,0.57373,32.87
12,short,975,9247849,0.0010,49.879,,50,0.9885,5,13,0,982,0.67044,33.19
13,short,944,10010374,0.0010,49.848,,50,0.9894,3,15,0,982,0.68387,33.67
14,short,958,10772341,0.0010,49.870,,50,0.9887,0,21,0,979,0.57745,34.17
15,short,986,11540343,0.0010,49.857,,50,0.9882,1,18,0,981,0.63440,33.46
16,short,996,12303775,0.0010,49.865,,50,0.9879,2,22,0,976,0.64508,23.87
17,short,990,13066186,0.0010,49.825,,50,0.9885,1,19,0,980,0.67578,23.83
18,short,971,13831140,0.0010,49.905,,50,0.9885,2,6,0,992,0.61478,23.99
19,short,988,14592261,0.0010,49.914,,50,0.9886,0,11,0,989,0.65355,23.68
20,short,957,15355640,0.0010,49.933,,50,0.9889,0,9,0,991,0.63251,32.69
21,short,995,16115532,0.0010,49.827,,50,0.9889,1,20,0,979,0.67754,23.72
22,short,941,16877898,0.0010,49.832,,50,0.9897,4,16,0,980,0.73745,23.66
23,short,1005,17641871,0.0010,49.879,,50,0.9889,2,19,0,979,0.65939,23.79
24,mid,2754,18637663,0.0010,38.538,88.240,146,0.9502,69,931,0,0,0.97229,44.84
25,mid,2602,19648604,0.0010,39.915,88.315,150,0.9486,56,943,0,1,0.72108,36.62
26,mid,2893,20718550,0.0010,41.745,91.975,146,0.9442,59,941,0,0,0.79240,38.12
27,mid,3002,21834924,0.0010,42.812,94.085,150,0.9451,51,948,0,1,0.56552,40.27
28,mid,3270,23040103,0.0010,46.501,97.315,150,0.9478,50,948,0,2,0.78428,42.81
29,mid,3675,24291916,0.0010,47.641,100.195,153,0.9500,54,943,0,3,0.79634,44.92
30,mid,3811,25755531,0.0010,56.089,103.510,156,0.9510,53,933,0,14,0.66099,50.13
31,mid,4785,27321035,0.0010,57.611,110.650,175,0.9558,49,925,0,26,0.60416,54.96
32,mid,4817,28966332,0.0010,61.405,109.745,173,0.9552,55,891,0,54,0.65828,57.54
33,mid,6960,30593999,0.0010,60.049,110.850,214,0.9542,41,919,0,40,0.58119,58.35
