round,ticks,transitions,epsilon,avg_score,best_score,accuracy,died_wall,died_self,starved,loss,seconds
1,62,24718,0.9383,0.043,2,0.7401,7,1,992,0.80734,0.40
2,77,50371,0.8742,0.083,2,0.7699,14,1,985,0.57749,0.20
3,84,77042,0.8076,0.142,4,0.7953,30,5,965,0.70310,0.21
4,143,106426,0.7342,0.288,6,0.8168,26,10,964,1.00661,0.27
5,134,140185,0.6499,0.454,5,0.8360,3,4,993,0.81131,0.28
6,238,185508,0.5367,1.007,10,0.8600,1,36,963,0.67613,0.44
7,933,273029,0.3181,3.062,39,0.8987,12,69,919,0.55764,1.19
8,3020,947721,0.0010,36.793,131,0.9194,85,592,323,0.15111,6.28
9,2737,1797019,0.0010,47.186,121,0.9065,148,539,313,0.19785,7.11
10,3031,3052698,0.0010,70.387,133,0.8967,187,720,93,0.18976,9.87
11,2925,4297155,0.0010,72.132,142,0.9138,251,709,40,0.34776,9.73
12,2473,5431480,0.0010,68.200,122,0.9295,216,763,21,0.50034,8.81
13,2533,6398774,0.0010,58.554,124,0.9363,88,708,204,0.40702,7.73
14,2827,7483104,0.0010,64.852,134,0.9327,84,773,143,0.34887,8.63
15,2812,8729311,0.0010,73.495,132,0.9337,129,827,44,0.44695,9.69
16,2784,10055783,0.0010,78.405,131,0.9225,141,837,22,0.41892,10.34
17,2824,11434320,0.0010,81.373,138,0.9318,103,870,27,0.49341,10.65
18,3453,12872223,0.0010,84.017,152,0.9280,103,863,34,0.40300,11.31
19,3374,14393862,0.0010,87.337,150,0.9245,74,887,39,0.42211,11.79
20,3545,15985007,0.0010,89.695,158,0.9242,112,851,37,0.30297,12.37
21,4038,17741846,0.0010,95.878,164,0.9255,230,739,31,0.39906,13.64
22,4049,19495394,0.0010,94.939,166,0.9295,220,725,55,0.46416,13.57
23,4152,21275867,0.0010,96.011,159,0.9270,192,759,49,0.35870,13.76
24,3872,23091417,0.0010,97.338,165,0.9299,149,785,66,0.31402,14.01
25,4505,24945942,0.0010,99.289,165,0.9273,144,774,82,0.53979,15.41
26,4761,26793085,0.0010,98.084,173,0.9223,189,745,66,0.37956,15.19
27,4888,28673381,0.0010,99.396,173,0.9325,203,691,106,0.42631,15.83
28,4908,30568447,0.0010,99.520,174,0.9245,143,774,83,0.20111,15.53
29,4586,32472347,0.0010,100.007,167,0.9292,155,774,71,0.38046,15.79
30,4512,34399809,0.0010,100.594,168,0.9298,158,769,73,0.29731,16.00
31,4940,36388226,0.0010,102.857,179,0.9262,149,752,99,0.45260,16.84
32,5301,38472234,0.0010,105.097,184,0.9263,154,730,116,0.29525,17.59
33,5662,40647759,0.0010,108.733,189,0.9309,190,735,75,0.54569,18.25
34,4641,42722382,0.0010,104.964,173,0.9351,165,729,106,0.29034,16.59
35,5860,44760433,0.0010,104.761,185,0.9326,176,774,50,0.30968,18.65
36,5181,46836480,0.0010,106.625,181,0.9353,84,840,76,0.27886,19.35
37,4884,48951907,0.0010,107.075,183,0.9347,178,708,114,0.30160,18.87
38,4877,51066319,0.0010,106.369,175,0.9294,239,674,87,0.40318,18.66
39,5414,53212105,0.0010,107.712,179,0.9371,170,684,146,0.30571,19.03
40,5855,55354802,0.0010,107.252,189,0.9299,163,753,84,0.35169,18.31
41,5627,57501621,0.0010,107.095,185,0.9341,145,746,109,0.34745,18.79
42,5633,59754032,0.0010,110.982,193,0.9310,150,741,109,0.27046,19.83
43,5934,61945644,0.0010,108.663,196,0.9324,151,769,80,0.36728,19.68
44,5316,64139981,0.0010,108.972,176,0.9289,136,751,113,0.36017,19.17
45,6680,66375841,0.0010,110.091,207,0.9300,162,782,56,0.34315,19.89
46,5666,68569390,0.0010,108.952,189,0.9292,122,824,54,0.40483,19.14
47,5632,70886230,0.0010,112.787,191,0.9299,144,792,64,0.41504,20.91
48,5343,73171486,0.0010,111.869,188,0.9248,159,764,77,0.31867,20.10
49,4586,75322212,0.0010,108.167,170,0.9226,136,772,92,0.30148,18.22
50,5137,77414799,0.0010,106.145,172,0.9235,147,765,88,0.40311,18.16
51,5148,79537208,0.0010,106.933,177,0.9279,138,763,99,0.22844,18.44
52,6323,81768495,0.0010,109.753,206,0.9313,147,785,68,0.12581,20.53
53,5918,84065979,0.0010,111.595,190,0.9289,100,791,109,0.30222,20.19
54,4757,86214339,0.0010,108.071,176,0.9297,105,816,79,0.37959,17.65
55,5300,88228929,0.0010,103.865,173,0.9269,177,722,101,0.23988,17.78
56,8609,90350144,0.0010,107.121,227,0.9318,116,829,55,0.25070,20.86
57,6263,92491183,0.0010,107.445,198,0.9264,127,793,80,0.26692,19.43
58,5837,94767552,0.0010,111.897,197,0.9272,101,827,72,0.23176,19.02
59,5630,96996894,0.0010,110.348,184,0.9271,104,821,75,0.29959,20.65
60,5521,99116878,0.0010,106.755,181,0.9302,115,771,114,0.21360,19.50
61,6204,101167011,0.0010,104.478,196,0.9347,99,821,80,0.37958,19.15
62,4804,103310714,0.0010,107.306,181,0.9315,103,810,87,0.31429,18.71
63,6246,105526502,0.0010,109.554,203,0.9249,97,835,68,0.26111,20.25
